,loss,mae,val_loss,val_mae
86,31915515904.0,112368.28125,38927306752.0,114854.2578125
87,31914090496.0,112055.609375,38903222272.0,114789.7890625
88,31972569088.0,111753.640625,38831226880.0,114731.0078125
89,31919435776.0,111792.21875,38630830080.0,115778.78125
90,31916756992.0,111894.234375,38616039424.0,116052.9296875
91,31910295552.0,112008.59375,38953066496.0,114450.0390625
92,31944869888.0,111571.671875,38674919424.0,115666.7109375
93,31863531520.0,112079.0625,38885240832.0,114542.6796875
94,31854411776.0,112042.765625,38669025280.0,115189.1171875
95,31872786432.0,111828.8515625,38599696384.0,115978.78125
96,31833610240.0,112514.9609375,38945349632.0,114164.1875
97,31898791936.0,111595.25,38630264832.0,115332.9765625
98,31870767104.0,111753.7890625,38657044480.0,115110.5546875
99,31879053312.0,111800.4609375,38563405824.0,115953.28125
100,31831166976.0,112238.9296875,38629048320.0,115164.2109375
101,31832205312.0,112132.6953125,38742425600.0,114635.2890625
102,31866304512.0,111778.3984375,38651707392.0,114958.6796875
103,31864276992.0,111814.4921875,38532558848.0,115206.21875
104,31859214336.0,111718.390625,38513881088.0,115343.984375
105,31850680320.0,111726.3671875,38561431552.0,115069.453125
106,31823454208.0,111735.359375,38559838208.0,114960.0
107,31841959936.0,111570.28125,38547664896.0,114989.71875
108,31846713344.0,111701.5,38551031808.0,114886.9140625
109,31819716608.0,111867.3515625,38618656768.0,114536.140625
110,31810021376.0,111666.78125,38650261504.0,114478.7734375
111,31826683904.0,111718.046875,38651727872.0,114555.3125
112,31809708032.0,111663.5625,38488109056.0,115413.453125
113,31780478976.0,112111.5234375,38660509696.0,114533.46875
114,31779938304.0,111744.03125,38655541248.0,114199.5546875
115,31820918784.0,111781.5546875,38526754816.0,114841.8203125
116,31830736896.0,111503.3515625,38514585600.0,114963.9453125
117,31808575488.0,111821.7578125,38506913792.0,114931.84375
118,31791185920.0,111612.6171875,38419042304.0,115519.7578125
119,31808378880.0,111719.203125,38492360704.0,114929.8828125
120,31772254208.0,111974.296875,38716735488.0,114046.25
121,31749943296.0,111720.5625,38764797952.0,113895.578125
122,31780581376.0,111708.8046875,38652588032.0,114247.921875
123,31751653376.0,111619.9140625,38403375104.0,114952.859375
124,31763648512.0,111504.34375,38358396928.0,115266.1640625
125,31733340160.0,111929.7421875,38704406528.0,113894.3125
126,31766611968.0,111672.8515625,38630453248.0,114075.671875
127,31787249664.0,111221.578125,38415540224.0,114631.140625
128,31764697088.0,111631.40625,38303137792.0,115249.359375
129,31729856512.0,111562.5078125,38273056768.0,115608.4375
130,31752656896.0,111707.6953125,38281113600.0,115097.484375
131,31716096000.0,111876.3671875,38572331008.0,113955.890625
132,31758424064.0,111361.0703125,38282518528.0,115427.7734375
133,31755769856.0,111655.0234375,38311215104.0,114740.96875
134,31737417728.0,111629.390625,38523125760.0,113992.6171875
135,31774984192.0,111401.4609375,38298857472.0,114814.8125
136,31720134656.0,111754.15625,38241239040.0,115201.765625
137,31719493632.0,111698.8125,38284124160.0,114816.3046875
138,31706820608.0,111484.0234375,38250270720.0,115038.8203125
139,31694925824.0,111678.1328125,38213562368.0,115399.8984375
140,31725533184.0,111797.875,38305615872.0,114609.3828125
141,31682705408.0,111390.5078125,38176272384.0,115545.625
142,31714754560.0,111538.3671875,38237749248.0,115065.34375
143,31729831936.0,111491.28125,38271610880.0,114736.1640625
144,31702419456.0,111670.9609375,38476447744.0,113986.6015625
145,31699343360.0,111396.6015625,38226284544.0,115258.2265625
146,31705858048.0,111534.109375,38236188672.0,115022.6171875
147,31685914624.0,111530.84375,38252720128.0,114659.5859375
148,31659272192.0,111567.0703125,38255521792.0,114539.6484375
149,31685398528.0,111423.3125,38149718016.0,115170.703125
150,31703486464.0,111556.3125,38195216384.0,114874.0625
151,31600805888.0,111827.875,38800076800.0,113203.0703125
152,31738847232.0,111148.9609375,38445928448.0,113984.7578125
153,31684675584.0,111355.2578125,38434488320.0,114135.3203125
154,31657656320.0,111323.140625,38658793472.0,113377.3828125
155,31689455616.0,110982.1484375,38150905856.0,115701.4140625
156,31699759104.0,111590.6484375,38178476032.0,115062.8125
157,31679213568.0,111398.8046875,38158401536.0,114915.2421875
158,31668303872.0,111290.9921875,38307790848.0,114298.1015625
159,31669696512.0,111403.6484375,38302674944.0,113989.53125
160,31644995584.0,111091.046875,38130626560.0,115615.65625
161,31669604352.0,111713.2734375,38264438784.0,114408.859375
162,31669624832.0,111260.4921875,38219313152.0,114699.984375
163,31694084096.0,111274.9921875,38233960448.0,114546.8125
164,31642179584.0,111477.7109375,38168985600.0,114886.2578125
165,31649484800.0,111475.8671875,38248861696.0,114425.2578125
166,31647354880.0,111320.8515625,38311518208.0,114009.0234375
167,31640387584.0,111037.7578125,38076141568.0,115220.46875
168,31654543360.0,111522.5078125,38218174464.0,114281.1484375
169,31642425344.0,111239.6640625,38131220480.0,114669.953125
170,31662120960.0,111326.2578125,38227005440.0,114069.3359375
171,31639664640.0,111417.4140625,38413565952.0,113523.3125
172,31661285376.0,111198.8203125,38261452800.0,113964.3515625
173,31613038592.0,111401.3671875,38400364544.0,113524.125
174,31592007680.0,110803.109375,38044884992.0,115055.5625
